"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-13","33.11",",,W"," 2217",",,W"," 2216",",,W","0.06",",,W","8",",,W","15",",,W","1",",,W","  140",",,W","  140",",,W","42.9",",,W","49.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-14","12.30",",,W"," 0019",",,W"," 0025",",,W","0.09",",,W","1",",,W","23",",,W","-21",",,W","  150",",,W","  150",",,W","38.0",",,W","42.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-15","8.50",",,W"," 2357",",,W"," 2357",",,W","0.02",",,W","-3",",,W","16",",,W","-22",",,W","   70",",,W","   70",",,W","23.9",",,W","28.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-16","12.30",",,W"," 0122",",,W"," 2357",",,W","0.00","T,,W","-1",",,W","14",",,W","-15",",,W","   60",",,W","   70",",,W","23.9",",,W","28.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-17","8.95",",,W"," 1528",",,W"," 1520",",,W","0.00",",,W","1",",,W","22",",,W","-20",",,W","   50",",,W","   50",",,W","16.1",",,W","17.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-18","13.65",",,W"," 0955",",,W"," 0954",",,W","0.00","T,,W","16",",,W","25",",,W","6",",,W","   30",",,W","   30",",,W","17.9",",,W","19.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-19","17.45",",,W"," 2349",",,W"," 2352",",,W","0.00","T,,W","6",",,W","17",",,W","-6",",,W","  360",",,W","  360",",,W","30.0",",,W","36.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-20","12.97",",,W"," 0001",",,W"," 0054",",,W","0.00","T,,W","3",",,W","15",",,W","-10",",,W","   10",",,W","   10",",,W","30.0",",,W","36.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-21","19.91",",,W"," 2228",",,W"," 2214",",,W","0.00","T,,W","11",",,W","18",",,W","4",",,W","   10",",,W","   10",",,W","30.0",",,W","33.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-22","13.42",",,W"," 0248",",,W"," 0336",",,W","0.00","T,,W","5",",,W","18",",,W","-8",",,W","   10",",,W","   10",",,W","29.1",",,W","31.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-23","18.57",",,W"," 0657",",,W"," 0645",",,W","0.25",",,W","21",",,W","36",",,W","5",",,W","   70",",,W","   70",",,W","42.9",",,W","48.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-24","4.25",",,W"," 2152",",,W"," 2151",",,W","0.03",",,W","13",",,W","24",",,W","2",",,W","   20",",,W","   10",",,W","13.0",",,W","14.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-25","4.70",",,W"," 1728",",,W"," 1832",",,W","0.06",",,W","11",",,W","24",",,W","-2",",,W","  140",",,W","  140",",,W","10.1",",,W","10.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-26","10.07",",,W"," 2142",",,W"," 2101",",,W","0.04",",,W","16",",,W","36",",,W","-4",",,W","   70",",,W","   70",",,W","23.0",",,W","25.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-27","6.04",",,W"," 0017",",,W"," 0009",",,W","0.02",",,W","21",",,W","33",",,W","8",",,W","   80",",,W","   80",",,W","17.9",",,W","21.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-28","9.84",",,W"," 1654",",,W"," 1920",",,W","0.00","T,,W","5",",,W","20",",,W","-10",",,W","  170",",,W","  170",",,W","12.1",",,W","12.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-29","5.37",",,W"," 2148",",,W"," 2359",",,W","0.00","T,,W","-16",",,W","3",",,W","-34",",,W","   90",",,W","  100",",,W","8.9",",,W","8.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-30","4.92",",,W"," 1833",",,W"," 1833",",,W","0.00","T,,W","-29",",,W","-13",",,W","-44",",,W","   40",",,W","   40",",,W","12.1",",,W","12.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-01-31","6.26",",,W"," 2127",",,W"," 2127",",,W","0.00","T,,W","-15",",,W","7",",,W","-37",",,W","  360",",,W","  360",",,W","30.0",",,W","32.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-01","11.86",",,W"," 0204",",,W"," 0157",",,W","0.00",",,W","-17",",,W","3",",,W","-36",",,W","   20",",,W","   10",",,W","28.0",",,W","31.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-02","10.07",",,W"," 0543",",,W"," 0541",",,W","0.00",",,W","-9",",,W","14",",,W","-32",",,W","   10",",,W","   10",",,W","19.9",",,W","21.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-03","14.54",",,W"," 2354",",,W"," 2357",",,W","0.01",",,W","13",",,W","32",",,W","-7",",,W","  110",",,W","  110",",,W","32.0",",,W","38.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-04","14.09",",,W"," 2354",",,W"," 0007",",,W","0.11",",,W","28",",,W","39",",,W","16",",,W","  110",",,W","  110",",,W","32.0",",,W","38.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-05","16.11",",,W"," 1849",",,W"," 1845",",,W","0.01",",,W","30",",,W","37",",,W","23",",,W","   70",",,W","   70",",,W","25.9",",,W","30.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-06","10.51",",,W"," 0831",",,W"," 0419",",,W","0.02",",,W","33",",,W","45",",,W","20",",,W","  160",",,W","  140",",,W","23.0",",,W","25.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-07","14.32",",,W"," 2214",",,W"," 2344",",,W","0.00","T,,W","28",",,W","40",",,W","16",",,W","   70",",,W","   60",",,W","23.9",",,W","25.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-08","15.43",",,W"," 1810",",,W"," 0934",",,W","0.00",",,W","34",",,W","37",",,W","30",",,W","   70",",,W","   70",",,W","19.9",",,W","21.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-09","12.08",",,W"," 1441",",,W"," 1440",",,W","0.00","T,,W","36",",,W","42",",,W","30",",,W","  140",",,W","  140",",,W","17.0",",,W","21.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-10","18.34",",,W"," 2128",",,W"," 2203",",,W","0.06",",,W","30",",,W","36",",,W","24",",,W","  130",",,W","  130",",,W","29.1",",,W","34.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-11","17.90",",,W"," 2304",",,W"," 2304",",,W","0.09",",,W","29",",,W","31",",,W","27",",,W","  120",",,W","  120",",,W","21.0",",,W","23.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-12","17.67",",,W"," 2313",",,W"," 0422",",,W","0.02",",,W","31",",,W","32",",,W","29",",,W","  160",",,W","  150",",,W","23.9",",,W","25.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-13","9.40",",,W"," 0212",",,W"," 0216",",,W","0.01",",,W","24",",,W","31",",,W","16",",,W","  150",",,W","  150",",,W","21.9",",,W","23.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-14","9.40",",,W"," 2214",",,W"," 1954",",,W","0.00",",,W","15",",,W","21",",,W","9",",,W","   40",",,W","   50",",,W","14.1",",,W","15.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-15","6.04",",,W"," 0239",",,W"," 0240",",,W","0.00","T,,W","12",",,W","18",",,W","5",",,W","   40",",,W","   50",",,W","14.1",",,W","14.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-16","8.72",",,W"," 1847",",,W"," 1836",",,W","0.01",",,W","5",",,W","15",",,W","-5",",,W","   30",",,W","   30",",,W","14.1",",,W","16.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-17","13.20",",,W"," 1741",",,W"," 1740",",,W","0.01",",,W","17",",,W","20",",,W","13",",,W","   30",",,W","   30",",,W","17.0",",,W","17.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-18","15.88",",,W"," 2006",",,W"," 2032",",,W","0.00","T,,W","15",",,W","23",",,W","7",",,W","   60",",,W","   80",",,W","25.1",",,W","28.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-19","15.88",",,W"," 1143",",,W"," 1148",",,W","0.00",",,W","9",",,W","15",",,W","2",",,W","   20",",,W","   10",",,W","23.9",",,W","25.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-20","9.17",",,W"," 0409",",,W"," 0408",",,W","0.00","T,,W","2",",,W","5",",,W","-1",",,W","   10",",,W","   10",",,W","17.0",",,W","17.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-21","15.88",",,W"," 2357",",,W"," 2349",",,W","0.00","T,,W","-1",",,W","4",",,W","-6",",,W","   20",",,W","   20",",,W","33.1",",,W","38.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-22","24.61",",,W"," 0447",",,W"," 0447",",,W","0.00","T,,W","-10",",,W","-6",",,W","-14",",,W","   20",",,W","   20",",,W","40.9",",,W","49.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-23","15.21",",,W"," 1456",",,W"," 1508",",,W","0.00",",,W","-9",",,W","-2",",,W","-16",",,W","   10",",,W","   10",",,W","23.0",",,W","25.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-24","15.66",",,W"," 2024",",,W"," 2023",",,W","0.00","T,,W","2",",,W","6",",,W","-2",",,W","   20",",,W","   20",",,W","23.0",",,W","25.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-25","14.99",",,W"," 1755",",,W"," 1221",",,W","0.00",",,W","5",",,W","8",",,W","2",",,W","   20",",,W","   20",",,W","21.0",",,W","23.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-26","11.41",",,W"," 2359",",,W"," 2235",",,W","0.00","T,,W","6",",,W","11",",,W","1",",,W","   70",",,W","   70",",,W","17.0",",,W","19.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-27","12.53",",,W"," 0737",",,W"," 0736",",,W","0.00","T,,W","-1",",,W","10",",,W","-12",",,W","   50",",,W","   60",",,W","21.0",",,W","21.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-28","12.30",",,W"," 1520",",,W"," 1521",",,W","0.00",",,W","-6",",,W","5",",,W","-16",",,W","   40",",,W","   40",",,W","19.9",",,W","19.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-02-29","12.30",",,W"," 0525",",,W"," 0444",",,W","0.05",",,W","12",",,W","20",",,W","4",",,W","   30",",,W","   20",",,W","17.9",",,W","19.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-01","9.62",",,W"," 0513",",,W"," 0507",",,W","0.02",",,W","19",",,W","23",",,W","14",",,W","  170",",,W","  160",",,W","17.0",",,W","19.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-02","6.93",",,W"," 2339",",,W"," 2339",",,W","0.00","T,,W","11",",,W","23",",,W","-1",",,W","   10",",,W","   10",",,W","15.0",",,W","15.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-03","12.75",",,W"," 1019",",,W"," 1019",",,W","0.00",",,W","7",",,W","14",",,W","0",",,W","   20",",,W","   20",",,W","23.0",",,W","23.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-04","5.37",",,W"," 0134",",,W"," 0134",",,W","0.00",",,W","2",",,W","12",",,W","-8",",,W","   10",",,W","   10",",,W","13.0",",,W","13.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-05","18.12",",,W"," 1750",",,W"," 1737",",,W","0.00","T,,W","13",",,W","31",",,W","-5",",,W","   70",",,W","   80",",,W","30.0",",,W","36.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-06","20.58",",,W"," 2052",",,W"," 1956",",,W","0.00","T,,W","30",",,W","34",",,W","26",",,W","   80",",,W","   80",",,W","17.9",",,W","21.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-07","14.32",",,W"," 0428",",,W"," 0422",",,W","0.00",",,W","21",",,W","30",",,W","11",",,W","  130",",,W","  120",",,W","25.1",",,W","31.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-08","12.75",",,W"," 1927",",,W"," 1928",",,W","0.00",",,W","14",",,W","22",",,W","5",",,W","   80",",,W","   80",",,W","19.9",",,W","21.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-09","16.33",",,W"," 1605",",,W"," 1357",",,W","0.00",",,W","13",",,W","18",",,W","8",",,W","   70",",,W","   80",",,W","23.0",",,W","25.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-10","16.33",",,W"," 2234",",,W"," 2255",",,W","0.00","T,,W","7",",,W","14",",,W","0",",,W","   70",",,W","   80",",,W","23.0",",,W","25.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-11","14.09",",,W"," 0607",",,W"," 0605",",,W","0.00",",,W","5",",,W","12",",,W","-3",",,W","   70",",,W","   70",",,W","25.9",",,W","29.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-12","13.65",",,W"," 1101",",,W"," 1101",",,W","0.00",",,W","9",",,W","20",",,W","-2",",,W","   60",",,W","   60",",,W","19.9",",,W","21.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-13","8.50",",,W"," 2306",",,W"," 2305",",,W","0.00","T,,W","7",",,W","15",",,W","-1",",,W","   40",",,W","   40",",,W","16.1",",,W","17.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-14","12.30",",,W"," 2311",",,W"," 2330",",,W","0.00","T,,W","9",",,W","17",",,W","1",",,W","   40",",,W","   40",",,W","19.9",",,W","21.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-15","15.88",",,W"," 2343",",,W"," 2358",",,W","0.00","T,,W","9",",,W","16",",,W","2",",,W","   20",",,W","   20",",,W","28.0",",,W","29.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-16","13.87",",,W"," 2359",",,W"," 2358",",,W","0.00",",,W","8",",,W","14",",,W","1",",,W","   20",",,W","   20",",,W","25.9",",,W","29.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-17","13.87",",,W"," 1445",",,W"," 1450",",,W","0.00",",,W","11",",,W","19",",,W","2",",,W","   50",",,W","   50",",,W","23.0",",,W","25.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-18","11.18",",,W"," 0354",",,W"," 0342",",,W","0.00","T,,W","3",",,W","11",",,W","-6",",,W","   30",",,W","   30",",,W","17.9",",,W","19.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-19","9.62",",,W"," 0346",",,W"," 0346",",,W","0.00","T,,W","1",",,W","9",",,W","-8",",,W","   20",",,W","   20",",,W","17.0",",,W","17.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-20","10.74",",,W"," 2216",",,W"," 2216",",,W","0.00","T,,W","2",",,W","10",",,W","-7",",,W","   20",",,W","   20",",,W","17.9",",,W","17.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-21","14.09",",,W"," 1921",",,W"," 1921",",,W","0.00","T,,W","-1",",,W","10",",,W","-11",",,W","   10",",,W","   10",",,W","30.0",",,W","36.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-22","18.57",",,W"," 0216",",,W"," 0216",",,W","0.00",",,W","-3",",,W","1",",,W","-7",",,W","   10",",,W","   10",",,W","30.0",",,W","32.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-23","23.71",",,W"," 2350",",,W"," 2205",",,W","0.00","T,,W","-6",",,W","-2",",,W","-10",",,W","   10",",,W","   10",",,W","36.9",",,W","42.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-24","41.61",",,W"," 1126",",,W"," 1601",",,W","0.00","T,,W","-9",",,W","-6",",,W","-11",",,W","   10",",,W","   10",",,W","49.0",",,W","61.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-25","10.29",",,W"," 0527",",,W"," 0526",",,W","0.02",",,W",,,,,,,"   20",",,W","   10",",,W","16.1",",,W","17.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-26","6.49",",,W"," 2146",",,W"," 2146",",,W","0.00","T,,W",,,,,,,"   10",",,W","   10",",,W","19.9",",,W","21.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-27","5.82",",,W"," 0527",",,W"," 0526",",,W","0.00","T,,W","2",",,W","7",",,W","-3",",,W","   70",",,W","   70",",,W","16.1",",,W","17.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-28","9.40",",,W"," 1355",",,W"," 1413",",,W","0.01",",,W","-4",",,W","2",",,W","-10",",,W","  130",",,W","  140",",,W","19.9",",,W","21.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-29","9.17",",,W"," 1327",",,W"," 1327",",,W","0.00",",,W","-2",",,W","12",",,W","-16",",,W","   20",",,W","   20",",,W","17.9",",,W","19.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-30","5.37",",,W"," 0216",",,W"," 0216",",,W","0.00",",,W","10",",,W","20",",,W","0",",,W","   20",",,W","   20",",,W","14.1",",,W","14.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-03-31","6.71",",,W"," 1601",",,W"," 1601",",,W","0.03",",,W","4",",,W","14",",,W","-6",",,W","  190",",,W","  190",",,W","13.0",",,W","14.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-04-01","6.26",",,W"," 2050",",,W"," 2009",",,W","0.00","T,,W","-6",",,W","3",",,W","-14",",,W","   10",",,W","   20",",,W","12.1",",,W","13.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-04-02","3.36",",,W"," 2359",",,W"," 2359",",,W","0.00","T,,W","-8",",,W","6",",,W","-21",",,W","   40",",,W","   40",",,W","14.1",",,W","14.1",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-04-03","9.17",",,W"," 2134",",,W"," 2134",",,W","0.00",",,W","2",",,W","17",",,W","-14",",,W","   60",",,W","   60",",,W","19.9",",,W","19.9",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-04-04","12.75",",,W"," 2218",",,W"," 2217",",,W","0.00","T,,W","13",",,W","19",",,W","6",",,W","   60",",,W","   60",",,W","19.9",",,W","21.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-04-05","9.62",",,W"," 0214",",,W"," 0051",",,W","0.00",",,W","1",",,W","15",",,W","-13",",,W","   70",",,W","   70",",,W","19.9",",,W","21.0",",,W",,,,,,,,
"USW00026642","KIVALINA AIRPORT, AK US","67.7306","-164.54788","5.7","2000-04-06","5.82",",,W"," 0404",",,W"," 0403",",,W","0.00","T,,W","-3",",,W","9",",,W","-15",",,W","   40",",,W","   40",",,W","12.1",",,W","13.0",",,W",,,,,,,,
